Number,"Post ID","Product ID",Affiliate,"Product Title",Brand,"Image URL",Description,Price,RRP,Link,Status
"91 of 5914 (1.54%)",12527,3100_3160924711,awin,"DKNY Saffiano gold chain tote bag, Gold","House of Fraser",http://images.productserve.com/preview/0/3100/11/47/3160924711.jpg,124.00,155.00,http://www.awin1.com/pclick.php?p=3160924711&a=99908&m=3100,Updated
"92 of 5914 (1.56%)",12526,3100_3202937587,awin,"DKNY Saffiano blue medium tote bag, Blue","House of Fraser",http://images.productserve.com/preview/0/3100/87/75/3202937587.jpg,169.00,0.00,http://www.awin1.com/pclick.php?p=3202937587&a=99908&m=3100,Updated
"93 of 5914 (1.57%)",12512,5678_3182104203,awin,"ASOS PETITE Exclusive Biker Coat in Wool with Pockets - Berry",ASOS,http://images.productserve.com/preview/8/5678/03/42/3182104203.jpg,65.00,65.00,http://www.awin1.com/pclick.php?p=3182104203&a=99908&m=5678,Updated
"94 of 5914 (1.59%)",12511,3233420315,awin,"Asos Petite Cocoon Coat In Textured Wool - Mint",,,,,,"Not Found"
"95 of 5914 (1.61%)",12510,5678_3179953335,awin,"ASOS PETITE Coat with Biker Detail and Contrast Trim",ASOS,http://images.productserve.com/preview/8/5678/35/33/3179953335.jpg,80.00,80.00,http://www.awin1.com/pclick.php?p=3179953335&a=99908&m=5678,Updated
"96 of 5914 (1.62%)",12509,3213134451,awin,"Asos Petite Ultimate Biker Jacket - Black",,,,,,"Not Found"
"97 of 5914 (1.64%)",12508,3299367105,awin,"Asos Petite Exclusive Long Line Duster Jacket - Stone",,,,,,"Not Found"
"98 of 5914 (1.66%)",12507,5678_3184334153,awin,"ASOS PETITE Bomber Jacket with Biker Detail - Black",ASOS,http://images.productserve.com/preview/8/5678/53/41/3184334153.jpg,75.00,75.00,http://www.awin1.com/pclick.php?p=3184334153&a=99908&m=5678,Updated
"99 of 5914 (1.67%)",12506,2292_3188534981,awin,"Spot Jacquard Jacket","Precis Petite",http://images.productserve.com/preview/2/2292/81/49/3188534981.jpg,69.00,149.00,http://www.awin1.com/pclick.php?p=3188534981&a=99908&m=2292,Updated
"100 of 5914 (1.69%)",12505,3200596663,awin,"Womens Petite Waterfall Crepe Jacket- Pink",,,,,,"Not Found"
"101 of 5914 (1.71%)",12504,1134_3200596667,awin,"Womens Petite waterfall crepe jacket- Khaki","Dorothy Perkins",http://images.productserve.com/preview/4/1134/67/66/3200596667.jpg,31.50,45.00,http://www.awin1.com/pclick.php?p=3200596667&a=99908&m=1134,Updated
"102 of 5914 (1.72%)",12503,2289_3285808415,awin,"Petite One Button Jacket","Jacques Vert",http://images.productserve.com/preview/9/2289/15/84/3285808415.jpg,127.20,159.00,http://www.awin1.com/pclick.php?p=3285808415&a=99908&m=2289,Updated
"103 of 5914 (1.74%)",12502,2289_3196541609,awin,"Petite 1 Ribbon Button Jacket","Jacques Vert",http://images.productserve.com/preview/9/2289/09/16/3196541609.jpg,127.20,159.00,http://www.awin1.com/pclick.php?p=3196541609&a=99908&m=2289,Updated
"104 of 5914 (1.76%)",12468,1685_3167381195,awin,"Petite ladies funnel neck check coat  - Black and White",M&Co,http://images.productserve.com/preview/5/1685/95/11/3167381195.jpg,85.00,0.00,http://www.awin1.com/pclick.php?p=3167381195&a=99908&m=1685,Updated
"105 of 5914 (1.78%)",12461,3100_3199458449,awin,"DKNY Tribeca black double zip tote bag, Black","House of Fraser",http://images.productserve.com/preview/0/3100/49/84/3199458449.jpg,250.00,0.00,http://www.awin1.com/pclick.php?p=3199458449&a=99908&m=3100,Updated
"106 of 5914 (1.79%)",12460,3123103269,awin,"Dkny Soft Saffiano Black Medium Tote Bag, Black",,,,,,"Not Found"
"107 of 5914 (1.81%)",12459,3100_3162724789,awin,"DKNY Saffino black tote bag, Black","House of Fraser",http://images.productserve.com/preview/0/3100/89/47/3162724789.jpg,205.00,0.00,http://www.awin1.com/pclick.php?p=3162724789&a=99908&m=3100,Updated
"108 of 5914 (1.83%)",12458,3100_3202937593,awin,"DKNY Saffiano black tote bag, Black","House of Fraser",http://images.productserve.com/preview/0/3100/93/75/3202937593.jpg,205.00,0.00,http://www.awin1.com/pclick.php?p=3202937593&a=99908&m=3100,Updated
"109 of 5914 (1.84%)",12457,3100_3202937597,awin,"DKNY Saffiano black tote bag with pocket, Black","House of Fraser",http://images.productserve.com/preview/0/3100/97/75/3202937597.jpg,219.00,0.00,http://www.awin1.com/pclick.php?p=3202937597&a=99908&m=3100,Updated
"110 of 5914 (1.86%)",12456,3100_3204981753,awin,"DKNY Saffiano black large double zip tote bag, Black","House of Fraser",http://images.productserve.com/preview/0/3100/53/17/3204981753.jpg,245.00,0.00,http://www.awin1.com/pclick.php?p=3204981753&a=99908&m=3100,Updated
"111 of 5914 (1.88%)",12455,3100_3202937581,awin,"DKNY Greenwich black tote bag, Black","House of Fraser",http://images.productserve.com/preview/0/3100/81/75/3202937581.jpg,225.00,0.00,http://www.awin1.com/pclick.php?p=3202937581&a=99908&m=3100,Updated
